타나, 156, 49
타차, 153, 75
하카, 150, 84
파라, 155, 87
다라, 162, 76
나타, 152, 93
카자, 155, 61
차자, 150, 97
가가, 184, 56
카카, 169, 81
자자, 152, 66
파하, 182, 91
라마, 182, 55
아파, 182, 86
바하, 189, 62
가타, 159, 85
아라, 150, 57
나파, 169, 96
나하, 178, 56
마차, 151, 69
카마, 166, 80
다가, 155, 55
파라, 174, 69
카가, 163, 54
사카, 167, 86
하사, 166, 67
자나, 179, 68
타카, 155, 61
파다, 174, 69
카타, 159, 83
하나, 177, 83
가아, 177, 59
아아, 188, 67
카파, 171, 94
다아, 173, 88
다라, 170, 99
카자, 188, 61
타라, 158, 51
나카, 167, 84
파파, 150, 48
하차, 171, 47
타바, 188, 58
카파, 179, 40
라바, 151, 66
자가, 176, 82
사나, 180, 64
사마, 154, 61
가자, 178, 76
하아, 173, 79
가카, 155, 41
타파, 171, 99
라바, 181, 43
하나, 173, 43
나카, 162, 71
하가, 153, 91
마차, 155, 83
아차, 180, 77
사나, 165, 40
다파, 152, 52
하파, 159, 86
하마, 150, 46
나나, 184, 78
다바, 175, 93
차사, 171, 52
카가, 173, 66
라차, 185, 80
가아, 179, 69
카카, 155, 99
카사, 157, 61
나바, 163, 43
다타, 150, 82
나바, 173, 44
마바, 187, 47
차아, 167, 46
카자, 174, 63
나차, 170, 43
라아, 161, 75
차아, 184, 49
파차, 150, 49
타차, 188, 52
하아, 152, 40
가카, 156, 96
다카, 177, 49
바아, 181, 83
바아, 169, 48
파차, 175, 93
가하, 185, 66
자마, 182, 95
자아, 184, 79
사다, 182, 84
다타, 159, 86
타바, 186, 56
차라, 173, 77
하차, 160, 50
나아, 166, 75
사차, 156, 87
라파, 181, 79
자카, 151, 52
마타, 156, 68
차하, 158, 52
아바, 164, 94
아나, 179, 61
가다, 155, 76
바파, 162, 81
자아, 176, 41
자카, 156, 90
차다, 187, 90
사차, 152, 52
라나, 154, 99
카자, 175, 89
카사, 171, 69
아타, 184, 60
